Source Sheet,Source Row,Import Key,Category,Brand,Collection / Series,Product Number / SKU,Product Name,Size,Finish / Variant,Unit,Physical Stock (Boxes),Loose Stock (Pieces),Blocked Stock (Boxes),Confirmed Stock (Boxes),Delivered Stock (Boxes),Damaged Stock (Boxes),In Transit Stock (Boxes),Reorder Level (Boxes),Available to Block (Boxes),Stock Status,Warehouse,Blocked By,Block Approved By,S3 Image Key,Image URL,Website Visible,Active,Remarks,Unnamed: 29,Sanitaryware / bathroom
ASHVIN,5,ASHVIN-0005,Sanitaryware & Bathroom,Ashvin,ALL IN ONE SINK,,BLACK,,,Piece,2.0,0,0,0,0,0,0,0,,,Main Depot,,,,,Yes,Yes,,,Adhesives / chemicals
ASHVIN,6,ASHVIN-0006,Sanitaryware & Bathroom,Ashvin,ALL IN ONE SINK,,CROME,,,Piece,6.0,0,0,0,0,0,0,0,,,Main Depot,,,,,Yes,Yes,,,Physical stock (boxes)
ASHVIN,2,ASHVIN-0002,Sanitaryware & Bathroom,Ashvin,HAND MADE SINK,,45X20 - DOUBLE BOWL,,,Piece,6.0,0,0,0,0,0,0,0,,,Main Depot,,,,,Yes,Yes,,,Loose stock (pieces)
BATHCO,6,BATHCO-0006,Sanitaryware & Bathroom,Bathco,,,FEZ,323x470,,Piece,0.0,1,0,0,0,0,0,0,,,Main Depot,,,,,Yes,Yes,,,In transit (boxes)
BATHCO,3,BATHCO-0003,Sanitaryware & Bathroom,Bathco,,,OLIVE,350x350,,Piece,0.0,0,0,0,0,0,0,0,,,Main Depot,,,,,Yes,Yes,,,
BATHCO,4,BATHCO-0004,Sanitaryware & Bathroom,Bathco,,,REDEN,350x465,,Piece,0.0,11,0,0,0,0,0,0,,,Main Depot,,,,,Yes,Yes,,,
BATHCO,8,BATHCO-0008,Sanitaryware & Bathroom,Bathco,,,REX,355x465,,Piece,0.0,46,0,0,0,0,0,0,,,Main Depot,,,,,Yes,Yes,,,
BATHCO,10,BATHCO-0010,Sanitaryware & Bathroom,Bathco,,,TITAN,,,Piece,0.0,15,0,0,0,0,0,0,,,Main Depot,,,,,Yes,Yes,,,
BATHCO,5,BATHCO-0005,Sanitaryware & Bathroom,Bathco,,,VEGAS,353x460,,Piece,0.0,0,0,0,0,0,0,0,,,Main Depot,,,,,Yes,Yes,,,
BATHCO,9,BATHCO-0009,Sanitaryware & Bathroom,Bathco,,,VENUE,,,Piece,0.0,1,0,0,0,0,0,0,,,Main Depot,,,,,Yes,Yes,,,
BATHCO,7,BATHCO-0007,Sanitaryware & Bathroom,Bathco,,,VIVA,324x451,,Piece,0.0,0,0,0,0,0,0,0,,,Main Depot,,,,,Yes,Yes,,,
BATHCO,26,BATHCO-0026,Sanitaryware & Bathroom,Bathco,INTEGRATED WASH BASIN,,ALTIS W/M,,,Piece,0.0,10,0,0,0,0,0,0,,,Main Depot,,,,,Yes,Yes,,,
BATHCO,14,BATHCO-0014,Sanitaryware & Bathroom,Bathco,INTEGRATED WASH BASIN,,BREZZA,430x480,,Piece,0.0,4,0,0,0,0,0,0,,,Main Depot,,,,,Yes,Yes,,,
BATHCO,20,BATHCO-0020,Sanitaryware & Bathroom,Bathco,INTEGRATED WASH BASIN,,DROPLET S/C,,,Piece,0.0,17,0,0,0,0,0,0,,,Main Depot,,,,,Yes,Yes,,,
BATHCO,15,BATHCO-0015,Sanitaryware & Bathroom,Bathco,INTEGRATED WASH BASIN,,EDEN,430x510,,Piece,0.0,8,0,0,0,0,0,0,,,Main Depot,,,,,Yes,Yes,,,
BATHCO,18,BATHCO-0018,Sanitaryware & Bathroom,Bathco,INTEGRATED WASH BASIN,,EWC DROPLET S-TRAP,,,Piece,0.0,17,0,0,0,0,0,0,,,Main Depot,,,,,Yes,Yes,,,
BATHCO,19,BATHCO-0019,Sanitaryware & Bathroom,Bathco,INTEGRATED WASH BASIN,,EWC DRPOLET P-TRAP,,,Piece,0.0,0,0,0,0,0,0,0,,,Main Depot,,,,,Yes,Yes,,,
BATHCO,21,BATHCO-0021,Sanitaryware & Bathroom,Bathco,INTEGRATED WASH BASIN,,EWC OXY S,,,Piece,0.0,12,0,0,0,0,0,0,,,Main Depot,,,,,Yes,Yes,,,
BATHCO,23,BATHCO-0023,Sanitaryware & Bathroom,Bathco,INTEGRATED WASH BASIN,,IQ,,,Piece,0.0,63,0,0,0,0,0,0,,,Main Depot,,,,,Yes,Yes,,,
BATHCO,24,BATHCO-0024,Sanitaryware & Bathroom,Bathco,INTEGRATED WASH BASIN,,IQ S/C,,,Piece,0.0,63,0,0,0,0,0,0,,,Main Depot,,,,,Yes,Yes,,,
BATHCO,27,BATHCO-0027,Sanitaryware & Bathroom,Bathco,INTEGRATED WASH BASIN,,LIVA W/M,,,Piece,0.0,3,0,0,0,0,0,0,,,Main Depot,,,,,Yes,Yes,,,
BATHCO,29,BATHCO-0029,Sanitaryware & Bathroom,Bathco,INTEGRATED WASH BASIN,,ONE PIECE ATHER S,,,Piece,0.0,1,0,0,0,0,0,0,,,Main Depot,,,,,Yes,Yes,,,
BATHCO,33,BATHCO-0033,Sanitaryware & Bathroom,Bathco,INTEGRATED WASH BASIN,,ONE PIECE COCO S,,,Piece,0.0,3,0,0,0,0,0,0,,,Main Depot,,,,,Yes,Yes,,,
BATHCO,32,BATHCO-0032,Sanitaryware & Bathroom,Bathco,INTEGRATED WASH BASIN,,ONE PIECE CRISIL,,,Piece,0.0,1,0,0,0,0,0,0,,,Main Depot,,,,,Yes,Yes,,,
BATHCO,34,BATHCO-0034,Sanitaryware & Bathroom,Bathco,INTEGRATED WASH BASIN,,ONE PIECE GALAXY,,,Piece,0.0,2,0,0,0,0,0,0,,,Main Depot,,,,,Yes,Yes,,,
BATHCO,31,BATHCO-0031,Sanitaryware & Bathroom,Bathco,INTEGRATED WASH BASIN,,ONE PIECE LUNAR S,,,Piece,0.0,0,0,0,0,0,0,0,,,Main Depot,,,,,Yes,Yes,,,
BATHCO,30,BATHCO-0030,Sanitaryware & Bathroom,Bathco,INTEGRATED WASH BASIN,,ONE PIECE ORCHARD,,,Piece,0.0,0,0,0,0,0,0,0,,,Main Depot,,,,,Yes,Yes,,,
BATHCO,36,BATHCO-0036,Sanitaryware & Bathroom,Bathco,INTEGRATED WASH BASIN,,ORISSA PAN-20',,,Piece,0.0,0,0,0,0,0,0,0,,,Main Depot,,,,,Yes,Yes,,,
BATHCO,22,BATHCO-0022,Sanitaryware & Bathroom,Bathco,INTEGRATED WASH BASIN,,OXY S/C,,,Piece,0.0,12,0,0,0,0,0,0,,,Main Depot,,,,,Yes,Yes,,,
BATHCO,37,BATHCO-0037,Sanitaryware & Bathroom,Bathco,INTEGRATED WASH BASIN,,P TRAP,,,Piece,0.0,0,0,0,0,0,0,0,,,Main Depot,,,,,Yes,Yes,,,
